city,date,fare,ride_id
Lake Jonathanshire,14-01-2019 10:14,13.83,5.73941E+12
South Michelleport,04-03-2019 18:24,30.24,2.34391E+12
Port Samanthamouth,24-02-2019 04:29,33.44,2.00507E+12
Rodneyfort,10-02-2019 23:22,23.44,5.14925E+12
South Jack,06-03-2019 04:28,34.58,3.90845E+12
South Latoya,11-03-2019 12:26,9.52,1.995E+12
New Paulville,27-02-2019 11:17,43.25,7.93208E+11
Simpsonburgh,26-04-2019 00:43,35.98,1.11954E+11
South Karenland,08-01-2019 03:28,35.09,7.99562E+12
North Jasmine,09-03-2019 06:26,42.81,5.32764E+12
New Kimberlyborough,07-02-2019 01:10,9.34,7.99278E+12
West Angela,12-01-2019 01:45,26.86,4.82005E+12
Rodneyfort,02-03-2019 18:03,44.26,2.49406E+12
West Angela,10-01-2019 12:17,12.74,2.10872E+12
Roberthaven,04-05-2019 14:48,25.66,1.0262E+12
North Jason,28-03-2019 22:28,9.19,7.00702E+12
Williamsview,03-01-2019 16:19,18.93,1.97949E+12
Leahton,26-02-2019 18:42,8.85,6.96667E+12
West Anthony,06-03-2019 02:27,10.02,9.39676E+12
New Kimberlyborough,25-04-2019 22:58,29.67,4.82357E+12
Roberthaven,24-02-2019 10:26,7.8,2.18057E+12
New Paulton,01-05-2019 03:12,8.28,8.5271E+12
West Patrickchester,19-03-2019 05:46,40.86,8.98889E+11
Deanville,25-04-2019 03:29,41.52,6.05593E+12
West Josephberg,19-02-2019 16:22,36.39,3.32213E+12
West Samuelburgh,03-05-2019 14:33,41.12,7.33084E+12
West Heidi,14-03-2019 23:46,24.4,4.90857E+12
Loganberg,01-04-2019 01:06,8.23,6.78729E+11
Huntermouth,10-02-2019 23:32,25.79,1.88038E+12
South Latoya,11-01-2019 18:44,27.41,8.6623E+12
New Paulville,18-03-2019 22:54,25.05,5.0318E+12
Grahamburgh,15-01-2019 11:44,40.69,3.07021E+11
Port Frank,02-02-2019 14:14,41.47,6.74661E+12
East Kaylahaven,28-02-2019 04:13,25.96,3.66252E+12
Rodneyfort,03-02-2019 00:48,44.86,2.3257E+12
South Karenland,12-02-2019 06:52,36.01,4.01593E+12
West Robert,15-02-2019 04:21,12.28,1.4425E+12
North Markport,18-02-2019 08:17,38.09,9.25013E+11
Williamsview,12-03-2019 06:47,8.35,1.94044E+12
Richardfort,24-02-2019 08:40,13.93,5.62855E+12
New Kimberlyborough,14-03-2019 16:47,27.9,6.7508E+12
Reynoldsfurt,25-03-2019 14:33,34.06,6.60442E+12
South Karenland,08-05-2019 02:31,41.33,5.68892E+12
Rodneyfort,25-04-2019 20:57,21.7,8.5346E+12
Justinberg,23-04-2019 08:59,14.65,9.87823E+12
West Josephberg,05-03-2019 03:27,12.91,1.02685E+11
South Karenland,03-03-2019 14:48,37.3,4.104E+12
Leahton,05-05-2019 10:34,17.05,5.84659E+12
Martinezhaven,19-03-2019 15:31,5.3,2.64338E+11
North Jason,03-03-2019 02:13,28.02,2.67055E+12
Jerryton,03-03-2019 17:50,28.08,6.00341E+12
Lake Scottton,18-02-2019 09:22,25.02,3.90934E+12
South Evanton,14-02-2019 05:55,42.5,9.95366E+12
Rogerston,08-05-2019 01:54,32.69,1.64341E+12
West Samuelburgh,02-05-2019 13:55,38.77,2.93169E+12
West Ericstad,24-04-2019 03:20,7.31,4.29248E+12
New Paulville,10-03-2019 10:45,4.43,1.21392E+12
Hurleymouth,04-05-2019 21:50,21.44,4.03966E+12
West Samuelburgh,03-03-2019 03:17,25.17,1.78175E+12
Joneschester,01-03-2019 18:48,34.71,3.34326E+12
New Paulville,03-04-2019 07:51,32.7,9.56256E+12
Simpsonburgh,19-01-2019 23:06,15.83,2.33191E+11
